checkpoint,train_h,train_r,train_t,test_h,test_r,test_t,influence
model_10.pt,CHEBI:47898,predicate:1,MONDO:0004980,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:59173,predicate:3,HP:0012251,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,HMDB:HMDB0083799,predicate:4,MONDO:0010543,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:28689,predicate:0,MONDO:0005618,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:31368,predicate:2,MONDO:0000265,CHEBI:52717,predicate:2,MONDO:0006468,-40.58341979980469
model_10.pt,CHEBI:16856,predicate:2,HP:0200123,CHEBI:52717,predicate:2,MONDO:0006468,62.866764068603516
model_10.pt,CHEBI:9241,predicate:3,MONDO:0001382,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:31526,predicate:3,HP:0000741,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,PUBCHEM.COMPOUND:11682007,predicate:2,HP:0012534,CHEBI:52717,predicate:2,MONDO:0006468,84.78453826904297
model_10.pt,PUBCHEM.COMPOUND:157010069,predicate:0,HP:0004308,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:2453,predicate:0,HP:0001410,CHEBI:52717,predicate:2,MONDO:0006468,0.0
